Data loaded from data/data-for-kenny-paper-HH.npz
x.shape: (18281, 2)
x.range: [([9500.    0.]), ([10500.   180.])]
y.shape: (18281,)
y.range: [((-0.03082517+0.003975031j)), ((0.04148419+0.003385245j))]

 ======  Simulation 1 Initialized  ====== 

  >> Adaptive basis: True
  >> Acquisition function: maximum variance
  >> X normalization strategy: min-max
  >> Sampling strategy: grid
  >> n_init: 3
  >> terms: 3
  >> max_iter: 20
  >> tol: 1e-05

 ======  Simulation 1 Initialized  ====== 

number of basis updated: 3 -> 3
S[0, r-1] =  0.2564569049714391 0.1291682406128888
Training.... (1/1500)  LR: 0.0500  loss: 0.2197  noise: [1.00e-12, 1.00e-12]
Training.... (11/1500)  LR: 0.0500  loss: 0.0142  noise: [1.00e-12, 1.00e-12]
Training.... (21/1500)  LR: 0.0498  loss: -0.6843  noise: [1.00e-12, 1.00e-12]
Training.... (31/1500)  LR: 0.0496  loss: -0.6607  noise: [1.00e-12, 1.00e-12]
Training.... (41/1500)  LR: 0.0492  loss: -0.2542  noise: [1.00e-12, 1.00e-12]
Training.... (51/1500)  LR: 0.0488  loss: -0.9016  noise: [1.00e-12, 1.00e-12]
Training.... (61/1500)  LR: 0.0482  loss: -1.1573  noise: [1.00e-12, 1.00e-12]
Training.... (71/1500)  LR: 0.0476  loss: -1.4448  noise: [1.00e-12, 1.00e-12]
Training.... (81/1500)  LR: 0.0469  loss: -1.4703  noise: [1.00e-12, 1.00e-12]
Training.... (91/1500)  LR: 0.0461  loss: -1.6391  noise: [9.99e-13, 1.00e-12]
Training.... (101/1500)  LR: 0.0452  loss: -1.6882  noise: [9.98e-13, 1.00e-12]
Training.... (111/1500)  LR: 0.0443  loss: -1.7358  noise: [9.98e-13, 1.00e-12]
Training.... (121/1500)  LR: 0.0432  loss: -1.6968  noise: [9.98e-13, 1.00e-12]
Training.... (131/1500)  LR: 0.0421  loss: -1.7528  noise: [9.98e-13, 1.00e-12]
Training.... (141/1500)  LR: 0.0409  loss: -1.7662  noise: [9.99e-13, 1.00e-12]
Training.... (151/1500)  LR: 0.0397  loss: -1.7372  noise: [9.98e-13, 1.00e-12]
Training.... (161/1500)  LR: 0.0384  loss: -1.7734  noise: [9.98e-13, 1.00e-12]
Training.... (171/1500)  LR: 0.0370  loss: -1.7940  noise: [9.98e-13, 1.00e-12]
