<class 'str'>
Data loaded from data/data-for-kenny-paper-HH.npz
x.shape: (18281, 2)
x.range: [([9500.    0.]), ([10500.   180.])]
y.shape: (18281,)
y.range: [((-0.03082517+0.003975031j)), ((0.04148419+0.003385245j))]

 ======  Simulation 5 Initialized  ====== 

  >> Adaptive basis: True
  >> Acquisition function: maximum variance
  >> X normalization strategy: scaled z-score
  >> Sampling strategy: grid
  >> n_init: 3
  >> terms: 5
  >> max_iter: 20
  >> tol: 1e-05

 ======  Simulation 5 Initialized  ====== 

number of basis updated: 3 -> 2
S[0, r] =  0.2696103199255353 0.10719441600061154
Training.... (1/1000)      LR: 0.2000      loss: 1.1052
Training.... (11/1000)      LR: 0.2000      loss: 0.0571
Training.... (21/1000)      LR: 0.1998      loss: -0.9398
Training.... (31/1000)      LR: 0.1996      loss: -1.4666
Training.... (41/1000)      LR: 0.1992      loss: -1.6272
Training.... (51/1000)      LR: 0.1988      loss: -1.4670
Training.... (61/1000)      LR: 0.1982      loss: -1.7946
Training.... (71/1000)      LR: 0.1976      loss: -2.0166
Training.... (81/1000)      LR: 0.1969      loss: -1.7039
Training.... (91/1000)      LR: 0.1960      loss: -1.9399
Training.... (101/1000)      LR: 0.1951      loss: -1.8116
Training.... (111/1000)      LR: 0.1941      loss: -1.7978
Training.... (121/1000)      LR: 0.1930      loss: -1.8418
Training.... (131/1000)      LR: 0.1918      loss: -0.6982
Training.... (141/1000)      LR: 0.1905      loss: -1.2089
Training.... (151/1000)      LR: 0.1891      loss: -1.2828
Training.... (161/1000)      LR: 0.1876      loss: -1.3912
Training.... (171/1000)      LR: 0.1861      loss: -1.4850
Training.... (181/1000)      LR: 0.1844      loss: -1.5538
Training.... (191/1000)      LR: 0.1827      loss: -1.6626
Training.... (201/1000)      LR: 0.1809      loss: -1.7836
Training.... (211/1000)      LR: 0.1790      loss: -1.8928
Training.... (221/1000)      LR: 0.1771      loss: -2.0278
Training.... (231/1000)      LR: 0.1750      loss: -2.1406
Training.... (241/1000)      LR: 0.1729      loss: -2.2328
Training.... (251/1000)      LR: 0.1707      loss: 1.4408
Training.... (261/1000)      LR: 0.1685      loss: -0.3798
Training.... (271/1000)      LR: 0.1661      loss: -0.6322
Training.... (281/1000)      LR: 0.1637      loss: -1.0626
Training.... (291/1000)      LR: 0.1613      loss: -1.2320
Training.... (301/1000)      LR: 0.1588      loss: -1.2993
Training.... (311/1000)      LR: 0.1562      loss: -1.3512
Training.... (321/1000)      LR: 0.1536      loss: -1.3944
Training.... (331/1000)      LR: 0.1509      loss: -1.4244
Training.... (341/1000)      LR: 0.1482      loss: -1.4441
Training.... (351/1000)      LR: 0.1454      loss: -1.4548
Training.... (361/1000)      LR: 0.1426      loss: -1.4599
Training.... (371/1000)      LR: 0.1397      loss: -1.4621
Training.... (381/1000)      LR: 0.1368      loss: -1.4630
Training.... (391/1000)      LR: 0.1339      loss: -1.4636
Training.... (401/1000)      LR: 0.1309      loss: -1.4643
Training.... (411/1000)      LR: 0.1279      loss: -1.4649
Training.... (421/1000)      LR: 0.1249      loss: -1.4657
Training.... (431/1000)      LR: 0.1218      loss: -1.4667
Training.... (441/1000)      LR: 0.1187      loss: -1.4678
Training.... (451/1000)      LR: 0.1156      loss: -1.4693
Training.... (461/1000)      LR: 0.1125      loss: -1.4712
Training.... (471/1000)      LR: 0.1094      loss: -1.4737
Training.... (481/1000)      LR: 0.1063      loss: -1.4773
Training.... (491/1000)      LR: 0.1031      loss: -1.4829
Training.... (501/1000)      LR: 0.1000      loss: -1.4927
Training.... (511/1000)      LR: 0.0969      loss: -1.5133
Training.... (521/1000)      LR: 0.0937      loss: -1.5610
Training.... (531/1000)      LR: 0.0906      loss: -1.6211
Training.... (541/1000)      LR: 0.0875      loss: -1.6833
Training.... (551/1000)      LR: 0.0844      loss: -1.7470
Training.... (561/1000)      LR: 0.0813      loss: -1.8101
Training.... (571/1000)      LR: 0.0782      loss: -1.8721
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396      [K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.8905[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: 3.2455[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: 3.5937[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: 3.1994[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: 2.1349[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: 1.3564[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: 0.6632[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: 0.1579[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -0.1998[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -0.4595[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -0.6511[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -0.7941[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -0.9019[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -0.9835[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.0456[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.0930[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.1292[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.1569[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.1784[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.1948[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2074[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2171[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2246[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2304[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2348[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2383[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2409[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2430[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2447[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2460[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2471[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2480[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2487[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2494[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2501[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2505[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2510[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2514[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2519[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2524[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2530[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2536[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2544[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2553[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2564[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2577[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2594[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2617[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2641[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2673[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2721[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2789[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2879[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.2999[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.3162[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.3374[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.3619[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.3908[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.4734[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.4862[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.5139[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.5485[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.5800[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.6114[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.6390[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.6615[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.6795[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.6934[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7040[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7122[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7184[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7232[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7269[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7298[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7321[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7340[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7355[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7369[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7382[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7394[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7405[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7418[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7431[K
..EarlyStop! (571/1000)      LR: 0.0782      loss: -2.2396          LBFGS loss: -1.7446[K
