Data loaded from data/data-for-kenny-paper-HH.npz
x.shape: (18281, 2)
x.range: [([9500.    0.]), ([10500.   180.])]
y.shape: (18281,)
y.range: [((-0.03082517+0.003975031j)), ((0.04148419+0.003385245j))]

 ======  Simulation 18 Initialized  ====== 

  >> Adaptive basis: True
  >> Acquisition function: maximum variance
  >> X normalization strategy: z-score
  >> Sampling strategy: grid
  >> n_init: 3
  >> terms: 5
  >> max_iter: 20
  >> tol: 1e-05

 ======  Simulation 18 Initialized  ====== 

number of basis updated: 3 -> 3
S[0, r-1] =  0.28401845980842444 0.06501355192099625
Training.... (1/1500)  LR: 0.0500  loss: 0.8614  noise: [1.00e-12, 1.00e-12]
Training.... (11/1500)  LR: 0.0500  loss: -0.1123  noise: [1.00e-12, 1.00e-12]
Training.... (21/1500)  LR: 0.0498  loss: -0.3161  noise: [1.00e-12, 1.00e-12]
Training.... (31/1500)  LR: 0.0496  loss: -0.6895  noise: [1.00e-12, 1.00e-12]
Training.... (41/1500)  LR: 0.0492  loss: -0.6636  noise: [1.00e-12, 1.00e-12]
Training.... (51/1500)  LR: 0.0488  loss: -1.0761  noise: [1.00e-12, 1.00e-12]
Training.... (61/1500)  LR: 0.0482  loss: -0.9641  noise: [1.00e-12, 1.00e-12]
Training.... (71/1500)  LR: 0.0476  loss: -1.3753  noise: [1.00e-12, 1.00e-12]
Training.... (81/1500)  LR: 0.0469  loss: -1.5588  noise: [1.00e-12, 1.00e-12]
Training.... (91/1500)  LR: 0.0461  loss: -1.8437  noise: [9.99e-13, 1.00e-12]
Training.... (101/1500)  LR: 0.0452  loss: -2.0264  noise: [9.96e-13, 1.00e-12]
Training.... (111/1500)  LR: 0.0443  loss: -1.8952  noise: [9.91e-13, 1.00e-12]
Training.... (121/1500)  LR: 0.0432  loss: -1.6424  noise: [9.90e-13, 1.00e-12]
Training.... (131/1500)  LR: 0.0421  loss: -2.1249  noise: [9.91e-13, 1.00e-12]
Training.... (141/1500)  LR: 0.0409  loss: -2.2015  noise: [9.92e-13, 1.00e-12]
Training.... (151/1500)  LR: 0.0397  loss: -2.1416  noise: [9.92e-13, 1.00e-12]
Training.... (161/1500)  LR: 0.0384  loss: -2.1977  noise: [9.91e-13, 1.00e-12]
Training.... (171/1500)  LR: 0.0370  loss: -2.2667  noise: [9.90e-13, 1.00e-12]
Training.... (181/1500)  LR: 0.0356  loss: -2.1606  noise: [9.88e-13, 1.00e-12]
Training.... (191/1500)  LR: 0.0342  loss: -2.3367  noise: [9.86e-13, 1.00e-12]
Training.... (201/1500)  LR: 0.0327  loss: -2.1366  noise: [9.82e-13, 1.00e-12]
Training.... (211/1500)  LR: 0.0312  loss: -2.3915  noise: [9.78e-13, 1.00e-12]
Training.... (221/1500)  LR: 0.0297  loss: -2.1356  noise: [9.71e-13, 1.00e-12]
